datetime,count
2011-01-20 00:00:00,15.01
2011-01-20 01:00:00,10.604
2011-01-20 02:00:00,9.714
2011-01-20 03:00:00,7.83
2011-01-20 04:00:00,7.64
2011-01-20 05:00:00,11.842
2011-01-20 06:00:00,37.272
2011-01-20 07:00:00,120.854
2011-01-20 08:00:00,155.546
2011-01-20 09:00:00,100.482
2011-01-20 10:00:00,82.756
2011-01-20 11:00:00,81.338
2011-01-20 12:00:00,105.574
2011-01-20 13:00:00,84.752
2011-01-20 14:00:00,90.836
2011-01-20 15:00:00,101.21
2011-01-20 16:00:00,98.788
2011-01-20 17:00:00,125.75
2011-01-20 18:00:00,126.224
2011-01-20 19:00:00,107.494
2011-01-20 20:00:00,84.498
2011-01-20 21:00:00,60.068
2011-01-20 22:00:00,51.958
2011-01-20 23:00:00,46.022
2011-01-21 00:00:00,17.568
2011-01-21 01:00:00,11.992
2011-01-21 02:00:00,8.918
2011-01-21 03:00:00,6.96
2011-01-21 04:00:00,8.642
2011-01-21 05:00:00,13.71
2011-01-21 06:00:00,34.91
2011-01-21 07:00:00,130.76
2011-01-21 08:00:00,155.856
2011-01-21 09:00:00,128.02
2011-01-21 10:00:00,70.77
2011-01-21 11:00:00,70.274
2011-01-21 12:00:00,90.132
2011-01-21 13:00:00,94.02
2011-01-21 14:00:00,85.316
2011-01-21 15:00:00,83.044
2011-01-21 16:00:00,87.166
2011-01-21 17:00:00,102.928
2011-01-21 18:00:00,99.704
2011-01-21 19:00:00,82.458
2011-01-21 20:00:00,68.662
2011-01-21 21:00:00,52.64
2011-01-21 22:00:00,49.398
2011-01-21 23:00:00,44.666
2011-01-22 00:00:00,17.966
2011-01-22 01:00:00,18.806
2011-01-22 02:00:00,17.348
2011-01-22 03:00:00,13.23
2011-01-22 04:00:00,8.934
2011-01-22 06:00:00,12.152
2011-01-22 07:00:00,33.976
2011-01-22 08:00:00,40.74
2011-01-22 09:00:00,44.742
2011-01-22 10:00:00,57.236
2011-01-22 11:00:00,61.278
2011-01-22 12:00:00,63.306
2011-01-22 13:00:00,75.758
2011-01-22 14:00:00,68.962
2011-01-22 15:00:00,71.954
2011-01-22 16:00:00,65.994
2011-01-22 17:00:00,77.552
2011-01-22 18:00:00,50.876
2011-01-22 19:00:00,51.096
2011-01-22 20:00:00,39.906
2011-01-22 21:00:00,40.824
2011-01-22 22:00:00,36.476
2011-01-22 23:00:00,28.436
2011-01-23 00:00:00,18.504
2011-01-23 01:00:00,14.5
2011-01-23 02:00:00,11.994
2011-01-23 03:00:00,8.866
2011-01-23 05:00:00,7.976
2011-01-23 06:00:00,10.706
2011-01-23 07:00:00,18.126
2011-01-23 08:00:00,22.41
2011-01-23 09:00:00,27.156
2011-01-23 10:00:00,45.104
2011-01-23 11:00:00,56.65
2011-01-23 12:00:00,66.798
2011-01-23 13:00:00,60.994
2011-01-23 14:00:00,73.232
2011-01-23 15:00:00,72.42
2011-01-23 16:00:00,74.406
2011-01-23 17:00:00,66.2
2011-01-23 18:00:00,57.07
2011-01-23 19:00:00,49.506
2011-01-23 20:00:00,36.408
2011-01-23 21:00:00,33.242
2011-01-23 22:00:00,27.938
2011-01-23 23:00:00,24.092
2011-01-24 00:00:00,12.914
2011-01-24 01:00:00,8.3
2011-01-24 03:00:00,6.712
2011-01-24 04:00:00,9.466
2011-01-24 05:00:00,10.706
2011-01-24 06:00:00,30.97
2011-01-24 07:00:00,106.062
2011-01-24 08:00:00,134.34
2011-01-24 09:00:00,118.532
2011-01-24 10:00:00,91.414
2011-01-24 11:00:00,81.048
2011-01-24 12:00:00,50.302
2011-01-24 13:00:00,47.18
2011-01-24 14:00:00,45.942
2011-01-24 15:00:00,79.202
2011-01-24 16:00:00,75.072
2011-01-24 17:00:00,93.604
2011-01-24 18:00:00,81.672
2011-01-24 19:00:00,78.536
2011-01-24 20:00:00,56.032
2011-01-24 21:00:00,38.548
2011-01-24 22:00:00,39.408
2011-01-24 23:00:00,37.804
2011-01-25 00:00:00,10.356
2011-01-25 01:00:00,6.976
2011-01-25 02:00:00,5.162
2011-01-25 04:00:00,5.402
2011-01-25 05:00:00,6.874
2011-01-25 06:00:00,32.258
2011-01-25 07:00:00,92.212
2011-01-25 08:00:00,114.048
2011-01-25 09:00:00,95.616
2011-01-25 10:00:00,75.292
2011-01-25 11:00:00,73.028
2011-01-25 12:00:00,76.322
2011-01-25 13:00:00,83.404
2011-01-25 14:00:00,93.06
2011-01-25 15:00:00,93.188
2011-01-25 16:00:00,100.19
2011-01-25 17:00:00,142.174
2011-01-25 18:00:00,117.932
2011-01-25 19:00:00,105.608
2011-01-25 20:00:00,88.31
2011-01-25 21:00:00,60.82
2011-01-25 22:00:00,48.906
2011-01-25 23:00:00,44.306
2011-01-26 00:00:00,10.898
2011-01-26 01:00:00,11.094
2011-01-26 02:00:00,5.076
2011-01-26 05:00:00,6.522
2011-01-26 06:00:00,26.174
2011-01-26 07:00:00,80.112
2011-01-26 08:00:00,97.482
2011-01-26 09:00:00,79.048
2011-01-26 10:00:00,54.776
2011-01-26 11:00:00,51.034
2011-01-26 12:00:00,50.932
2011-01-26 13:00:00,51.252
2011-01-26 14:00:00,51.158
2011-01-26 15:00:00,52.676
2011-01-26 16:00:00,61.294
2011-01-26 17:00:00,63.4
2011-01-27 16:00:00,100.172
2011-01-27 17:00:00,125.59
2011-01-27 18:00:00,103.38
2011-01-27 19:00:00,93.924
2011-01-27 20:00:00,75.358
2011-01-27 21:00:00,54.698
2011-01-27 22:00:00,47.958
2011-01-27 23:00:00,42.236
2011-01-28 00:00:00,12.808
2011-01-28 01:00:00,7.612
2011-01-28 02:00:00,4.998
2011-01-28 03:00:00,8.302
2011-01-28 05:00:00,9.494
2011-01-28 06:00:00,30.942
2011-01-28 07:00:00,90.138
2011-01-28 08:00:00,116.564
2011-01-28 09:00:00,80.564
2011-01-28 10:00:00,63.922
2011-01-28 11:00:00,60.778
2011-01-28 12:00:00,61.38
2011-01-28 13:00:00,62.284
2011-01-28 14:00:00,68.354
2011-01-28 15:00:00,77.982
2011-01-28 16:00:00,92.572
2011-01-28 17:00:00,123.232
2011-01-28 18:00:00,121.864
2011-01-28 19:00:00,96.982
2011-01-28 20:00:00,80.666
2011-01-28 21:00:00,59.44
2011-01-28 22:00:00,58.8
2011-01-28 23:00:00,52.308
2011-01-29 00:00:00,24.376
2011-01-29 01:00:00,18.018
2011-01-29 02:00:00,15.094
2011-01-29 03:00:00,11.85
2011-01-29 04:00:00,8.012
2011-01-29 06:00:00,12.176
2011-01-29 07:00:00,27.978
2011-01-29 08:00:00,43.524
2011-01-29 09:00:00,45.554
2011-01-29 10:00:00,54.656
2011-01-29 11:00:00,56.108
2011-01-29 12:00:00,62.36
2011-01-29 13:00:00,70.216
2011-01-29 14:00:00,65.45
2011-01-29 15:00:00,70.116
2011-01-29 16:00:00,73.446
2011-01-29 17:00:00,70.738
2011-01-29 18:00:00,66.634
2011-01-29 19:00:00,67.468
2011-01-29 20:00:00,51.732
2011-01-29 21:00:00,41.236
2011-01-29 22:00:00,38.084
2011-01-29 23:00:00,34.748
2011-01-30 00:00:00,25.274
2011-01-30 01:00:00,23.14
2011-01-30 02:00:00,18.55
2011-01-30 03:00:00,14.84
2011-01-30 04:00:00,12.164
2011-01-30 05:00:00,10.486
2011-01-30 07:00:00,20.636
2011-01-30 08:00:00,37.012
2011-01-30 09:00:00,40.124
2011-01-30 10:00:00,52.644
2011-01-30 11:00:00,57.14
2011-01-30 12:00:00,94.69
2011-01-30 13:00:00,74.47
2011-01-30 14:00:00,75.748
2011-01-30 15:00:00,96.668
2011-01-30 16:00:00,97.142
2011-01-30 17:00:00,78.284
2011-01-30 18:00:00,64.598
2011-01-30 19:00:00,56.634
2011-01-30 20:00:00,57.012
2011-01-30 21:00:00,36.89
2011-01-30 22:00:00,32.71
2011-01-30 23:00:00,30.41
2011-01-31 00:00:00,17.78
2011-01-31 01:00:00,7.854
2011-01-31 02:00:00,6.918
2011-01-31 03:00:00,6.84
2011-01-31 04:00:00,8.122
2011-01-31 05:00:00,5.372
2011-01-31 06:00:00,31.764
2011-01-31 07:00:00,72.222
2011-01-31 08:00:00,86.724
2011-01-31 09:00:00,71.366
2011-01-31 10:00:00,54.322
2011-01-31 11:00:00,53.154
2011-01-31 12:00:00,63.134
2011-01-31 13:00:00,79.652
2011-01-31 14:00:00,64.03
2011-01-31 15:00:00,61.114
2011-01-31 16:00:00,66.64
2011-01-31 17:00:00,74.322
2011-01-31 18:00:00,75.694
2011-01-31 19:00:00,116.53
2011-01-31 20:00:00,63.518
2011-01-31 21:00:00,45.432
2011-01-31 22:00:00,41.87
2011-01-31 23:00:00,34.66
2011-02-20 00:00:00,28.712
2011-02-20 01:00:00,21.85
2011-02-20 02:00:00,20.038
2011-02-20 03:00:00,13.462
2011-02-20 04:00:00,11.272
2011-02-20 06:00:00,13.356
2011-02-20 07:00:00,37.836
2011-02-20 08:00:00,45.424
2011-02-20 09:00:00,57.142
2011-02-20 10:00:00,80.012
2011-02-20 11:00:00,109.57
2011-02-20 12:00:00,124.516
2011-02-20 13:00:00,153.678
2011-02-20 14:00:00,140.502
2011-02-20 15:00:00,147.048
2011-02-20 16:00:00,152.966
2011-02-20 17:00:00,136.362
2011-02-20 18:00:00,125.264
2011-02-20 19:00:00,120.746
2011-02-20 20:00:00,102.358
2011-02-20 21:00:00,73.876
2011-02-20 22:00:00,65.142
2011-02-20 23:00:00,58.27
2011-02-21 00:00:00,31.722
2011-02-21 01:00:00,27.624
2011-02-21 02:00:00,25.28
2011-02-21 03:00:00,21.166
2011-02-21 04:00:00,15.192
2011-02-21 05:00:00,25.032
2011-02-21 06:00:00,38.758
2011-02-21 07:00:00,107.702
2011-02-21 08:00:00,111.328
2011-02-21 09:00:00,102.094
2011-02-21 10:00:00,101.478
2011-02-21 11:00:00,99.978
2011-02-21 12:00:00,111.554
2011-02-21 13:00:00,68.452
2011-02-21 14:00:00,110.81
2011-02-21 15:00:00,96.758
2011-02-21 16:00:00,73.722
2011-02-21 17:00:00,100.956
2011-02-21 18:00:00,84.394
2011-02-21 19:00:00,78.494
2011-02-21 20:00:00,55.192
2011-02-21 21:00:00,46.75
2011-02-21 22:00:00,41.152
2011-02-21 23:00:00,38.87
2011-02-22 06:00:00,32.862
2011-02-22 07:00:00,102.04
